slug,name,category,website,tagline,what_is,ai4ntp_take,who_for,pricing_summary,free_tier,g2_score,g2_reviews,g2_as_of,g2_source,is_private,is_network,affiliate_url,alternatives,updated
fireshot,Fireshot,Productivity & capture,https://getfireshot.com,Chrome extension that captures full-page screenshots in one click.,"Fireshot is a Chrome extension that captures full-page screenshots of any website in a single click, including everything below the fold that would normally require scrolling. It saves the capture as an image or PDF and lets you annotate, crop, or mark it up before exporting.

It's built for anyone who needs a complete visual record of a webpage rather than just what's visible on screen. The free version covers standard capture and export; a paid Pro tier adds more advanced editing and export options.","On Episode 002, Alec Saluga used a trick he picked up from Ian: screenshot an entire site with Fireshot and feed it into an AI prompt as context, while building GotoBuild, an AI workout planner, in under an hour. He reached for the same move on Episode 005, capturing a full Crumbl reference page and dropping it straight into the prompt while building Milk and Cookies, a bakery brand, as one of three real companies built live in that episode.

The takeaway: when you want an AI tool to match a website's look, layout, or brand feel, screenshotting the whole page and pasting it into the prompt gives the model far more to work with than a written description ever could. Fireshot stays in the stack because it turns ""make it look like this"" into something you can actually show the AI, not just tell it. For an operator, that's the appeal: one click, no design software, no code, and a reference image ready to paste straight into your next prompt.","Fireshot is about as approachable as browser tools get. You click the extension icon, it captures the full page automatically, and you export or copy the image right away; there's no setup and nothing to configure. For an operator building with AI, that makes it genuinely useful: capture a competitor's site or a brand reference page and hand it to your AI tool as visual context, no design or coding skill required.",Free; paid Pro for advanced exports.,true,,,,,,,,,2026-07-01
plaud-note,PLAUD Note,Productivity & capture,https://plaud.ai,Pocket AI voice recorder that captures meetings and calls.,"PLAUD Note is a pocket-sized AI voice recorder that clips onto the back of your phone or slips into a pocket. It records in-person conversations, phone calls, and online meetings, then transcribes and summarizes them with AI so you get a searchable record of what was said.

PLAUD says it bridges these three capture modes (in person, phone, online) into a single workflow, and reports more than 2 million users worldwide. PLAUD Note pairs with a companion app and integrates with tools like Zapier, so recordings can flow automatically into other software for further processing.","Alec Saluga brought PLAUD Note on screen as the hardware recorder in his stack. It snaps onto the back of his phone, so it is always on hand for the calls and in-person meetings that never get scheduled through a laptop. Once a conversation is recorded, PLAUD routes the transcript out through Zapier. In one setup, the recordings land in Google Drive, and from there Claude reads the transcript and turns it into notes, summaries, or next steps, no manual copying or typing required.

We keep PLAUD Note in the stack because it solves the part of AI workflows most people skip: getting the conversation into text in the first place. A phone can record audio, but a dedicated device that hands off cleanly to Zapier removes a step. The practical takeaway for you is that the value is not in the recorder itself, it is in what happens after: a plumbing setup that turns a recorded meeting into something your AI tools can actually read and act on.","PLAUD Note itself is built for anyone: charge it, clip it on, hit record, and the app hands you a transcript. No coding, no dev setup. Where it gets more advanced is the automation layer AI4NTP built around it, routing recordings through Zapier into Google Drive and Claude. You do not need to build that yourself to get value from the recorder, but if you want the full hands-off pipeline, plan on setting up Zapier once or asking someone who has.",Hardware purchase plus an app subscription; see site.,false,,,,,,,,,2026-06-19
loom,Loom,Productivity & capture,https://loom.com,"Async video messaging for handoffs, sales, and coaching.","Loom is a screen and camera recording tool for sending video messages in place of a meeting or a long email. You hit record, capture your screen, your face, or both, and Loom turns it into a shareable link you can send instead of scheduling a call.

It's built around async communication: instead of a live call, you send a video someone can watch, pause, and comment on whenever it fits their schedule. Loom offers a free tier for individuals and paid plans for teams that add more storage, editing tools, and viewer analytics. It's widely used for handoffs, walkthroughs, sales follow-ups, and coaching.","In Episode 001, on how marketers are actually using AI to grow, the operators called out Loom as the one tool in the stack that isn't AI at all. They use it for the parts of the job that video still handles better than a doc or a Slack thread: handing off a project so the next person can see exactly what you mean instead of reading a paragraph of instructions, walking a prospect through a proposal without booking a call, and coaching a teammate by recording over their shoulder and talking through the fix.

We keep it in the stack because AI speeds up what you produce, but it doesn't replace showing your work. A two-minute recording of a dashboard, a workflow, or a piece of feedback lands faster than a written explanation and doesn't require the other person to be free at the same moment you are. The practical takeaway: when an explanation would take three paragraphs to write, hit record instead and send the link.","Loom is one of the easier tools in this directory. There's nothing to configure and nothing AI-specific to learn: install the extension or app, click record, and you get a link to send. It's a good fit for anyone who explains things over Slack or email today and wants a faster, clearer way to do it, whether that's handing off work, walking a client through something, or giving feedback without scheduling a call.",Free tier available; paid plans for teams.,true,,,,,,,,,2026-06-05
namecheap,Namecheap,Domains,https://www.namecheap.com,Domain registrar and hosting.,"Namecheap is a domain name registrar and web hosting company. It lets you search for, buy, and manage domain names, the web address people type to find your site, along with services like web hosting, SSL certificates, and email hosting. It's one of the larger domain registrars, known for competitive pricing and frequent promotions on new domain purchases.

Once you own a domain through Namecheap, you point it at wherever your site actually lives, a hosting provider, a page builder, or a platform like Vercel, and manage renewals, DNS settings, and privacy protection from one dashboard.","Ian Kilpatrick used it in Episode 002, ""We built a company with AI in under an hour,"" to buy the domain for the episode's voted brief, GotoBuild (an AI workout planner), live on camera, for one cent, on one of Namecheap's promo deals. He prefers Namecheap over GoDaddy, saying it runs at roughly 60% of GoDaddy's price for a comparable domain.

Why we keep it in the stack: buying a domain is often the first real step that turns a brief into a live product, and Namecheap makes that step fast and cheap enough to do on camera in under an hour. The practical takeaway: you don't need a developer to register a domain. Search, claim it, and hand it off to whoever builds your site next.","Namecheap is one of the easier tools in this stack to use on your own. Searching for and buying a domain takes a few clicks and no code, which is why Ian bought GotoBuild's domain live on camera during a build session. It gets more technical right after purchase, when you point the domain at your hosting or app through DNS settings, a step that's easy to get wrong. If that part worries you, buy the domain yourself and hand the DNS setup to whoever builds your site.",Paid; domains from ~$1 on promo (stated on the live).,false,,,,,,,,,2026-06-05
instant-domain-search,Instant Domain Search,Domains,https://instantdomainsearch.com,Instant domain-availability search.,"Instant Domain Search is a domain name search tool that checks availability across hundreds of domain extensions in real time. Type a name and it shows, almost instantly, which versions are free to register (.com, .io, .ai, and hundreds more) alongside pricing, so you can compare options without checking each registrar one by one.

It's built for speed: results appear as you type, rather than after a page reload. Once you find a name you like, you can move straight to buying it through a registrar.","In Episode 002, where the team built a company with AI in under an hour, Ian Kilpatrick used Instant Domain Search to check whether gotobuild.pro was available for their AI workout planner idea. Rather than guessing and finding out only after committing to the name, he typed it in, saw it was open, and moved straight to buying it, live during the episode.

We keep it in the stack because naming a company or an app moves fast when the domain check doesn't slow you down. The instant results let you test several name ideas back to back without losing momentum, and the extension list surfaces options beyond .com that you might not have considered. The practical takeaway for any operator: check availability before you fall in love with a name, not after.","Instant Domain Search is about as easy as tools get: you type a business or project name into a search box and see, instantly, which domain extensions are free and how much they cost. There's no signup needed to search, and no technical setup. If you can type a name and read a price, you can use it. It's a good fit the moment you're naming anything, a company, a product, a side project, and want to know before you commit.",Free.,true,,,,,,,,,2026-06-05
digitalocean,DigitalOcean,Hosting & infrastructure,https://www.digitalocean.com,Cloud hosting with simple virtual servers (droplets) and an in-browser console.,"DigitalOcean is a cloud infrastructure provider. It rents out virtual private servers, called droplets, along with managed databases and storage, so anyone can run software on a machine that lives in a data center instead of on their own computer.

It's known for simple, transparent pricing, with plans starting at a few dollars a month, and for tooling built to be approachable, including an in-browser console that lets you manage a server without installing anything locally. That makes it a common starting point for hosting a website, an app, or an AI agent that needs to run continuously.","Ian used DigitalOcean live in Episode 003 to give an OpenClaw AI agent a real home instead of a laptop that has to stay open. He spun up a droplet (DigitalOcean's term for a virtual private server), a roughly 18-dollar-a-month box with 2GB of memory, and ran the whole setup, install, configuration, and hardening, straight from DigitalOcean's in-browser console. No local terminal or SSH client required to follow along.

Before the agent went live, Ian locked the droplet down with fail2ban and a firewall so it wasn't sitting open on the internet. That's the real lesson: a cheap server is easy to get, but a few minutes of hardening is what makes it safe to leave running. We keep DigitalOcean in the stack because it's the fastest way to move an agent off a laptop and onto a real server, at a price that's easy to predict.","DigitalOcean is server infrastructure, and setting one up (choosing a droplet, configuring a firewall, hardening it against attacks) is a technical job. If you're not comfortable at a command line, this isn't something you sit down and click through on your own. Where it fits for you is one step removed: it's what a developer, or an AI agent working under your direction, uses to give your project a real, always-on home. Worth understanding, even if you never touch it yourself.",Droplets from a few dollars a month; about 18 dollars a month for the 2GB server used on the live.,false,,,,,,,,,2026-06-11
telegram,Telegram,Messaging & channels,https://telegram.org,A free messaging app with a bot platform (BotFather) for connecting automated agents.,"Telegram is a free messaging app for phone, desktop, and browser, similar to WhatsApp or iMessage but built around large groups and channels.

Its bigger draw for builders is BotFather, a chat-based tool built into Telegram for creating bots through its Bot API. Anyone can register a bot in a few messages and get a token that lets a program send and receive messages through it, which is why Telegram has become a common front end for chatting with AI agents.","In Episode 003, Ian Kilpatrick used Telegram as the control channel for a fresh OpenClaw agent. He walked through BotFather to register a new bot in a few messages, wired it to the agent, and from there could message the agent directly from his phone to assign it tasks. No dashboard, no separate app to check, just a chat thread.

We keep Telegram in the stack because it turns an agent into something you actually check. Everyone already has a messaging app open all day, so putting your agent there means you catch what it's doing and can redirect it in real time. Ian calls it his favorite channel because BotFather is the easiest setup we've used: no approval wait, no developer account, just a conversation with a bot that hands you a token. If you want to control an agent from your phone without opening a browser, this is a quick way to do it.","Telegram itself is as easy as any messaging app: download it, make an account, start chatting. Where it gets more technical is BotFather, the tool that creates the bot and hands you an API token to wire into your agent. That step is a one-time setup a developer or your AI builder handles for you. Once it's connected, using it is just texting, which is why it's a good fit even if you never touch a line of code.",Free.,true,,,,,,,,,2026-07-13
tailscale,Tailscale,Hosting & infrastructure,https://tailscale.com,A mesh VPN built on WireGuard that privately connects your devices and servers.,"Tailscale is a mesh VPN built on the WireGuard protocol. It connects your devices and servers into a private network so they can talk to each other directly, without opening ports on the public internet or routing traffic through a third party. Install it on a laptop, a home server, and a cloud instance, and Tailscale handles the encryption and routing so the machines behave as if they're on the same local network, no matter where they physically sit.

Setup is largely automatic: sign in, install the app, and devices join the network on their own. Tailscale offers a free tier for personal use and paid plans for teams.","Ian Kilpatrick uses Tailscale to keep server-side agent work private. In Episode 003, building an AI clone agent with OpenClaw, he ran a Tailscale funnel between his own machine and the servers doing the heavy lifting, so the connection stayed off the public internet. That mattered because the work involved competitive or financial data he did not want exposed, even briefly, to anything outside his own network.

We keep Tailscale in the stack because agent work increasingly runs on remote servers, not just local scripts, raising the stakes on what stays public versus private. A mesh VPN closes that gap without the operator managing firewall rules or open ports. The practical takeaway: if an agent setup touches sensitive data and needs a server in the loop, that connection should not sit on the open internet. You do not need to configure Tailscale yourself to benefit from this lesson, but you should ask whether your agent's traffic is private before it handles anything sensitive.","Tailscale is a technical tool. Setting it up involves installing software on servers, understanding network concepts, and making decisions about routing and access. If that is not something you do yourself, it is not a tool you need to run. But it is worth understanding what it does: if you or your team ever run agents on a remote server with sensitive data involved, ask whoever built it whether that connection is private.",Free tier for personal use; paid plans for teams.,true,,,,,,,,,2026-06-11
firecrawl,Firecrawl,Marketing & growth,https://firecrawl.dev,"An API that crawls websites and returns clean, LLM-ready data.","A web scraping and crawling API that turns websites into clean markdown or structured data for AI applications. It handles JavaScript rendering and anti-bot measures, so developers or the AI agents they build don't have to fight broken HTML or blocked requests.

Point it at a URL or a whole site, and it returns content formatted for language models to read. That makes it useful for feeding research, SEO audits, or any workflow where an AI needs to ingest web pages at scale.","In Episode 003, Ian Kilpatrick used Firecrawl to build an AI Clone Agent with OpenClaw. The agent needed to read a lot of pages to do its job, so Firecrawl handled the scraping: pulling pages at scale and handing back clean data the agent could actually use for research and SEO audits, instead of raw HTML full of ads, nav bars, and scripts.

We keep it in the stack because it is the piece that solves a problem every agent eventually hits: the open web is messy, and most sites actively resist being scraped. Firecrawl handles that mess once so you don't have to solve it inside every agent you build. The practical takeaway: you don't need to know how it works under the hood. When someone builds you an agent that needs to ""read the internet,"" Firecrawl is likely the tool doing that reading behind the scenes.","Firecrawl is a developer tool. It's an API, which means you use it by writing code or plugging it into an agent framework, not by clicking around a dashboard. If you're not building agents yourself, you likely won't touch Firecrawl directly, but you don't need to: whoever builds your AI agent (or the AI you're working with) can wire it in to handle the web-reading piece. Worth knowing it exists, and worth asking for by name when you want an agent that can research or audit pages at scale.",Free tier with credits; usage-based paid plans.,true,,,,,,,,apify,2026-06-11
kimi,Kimi (Moonshot AI),AI assistants & research,https://www.moonshot.ai/,"A large language model from Moonshot AI, positioned as a low-cost option.","Kimi is a family of large language models built by Moonshot AI. It's available through a chat interface and an API, and it's best known for two things: long context windows that let it handle large amounts of text in a single prompt, and pricing that runs well below many of the bigger-name models.

For anyone comparing model options, Kimi sits in the low-cost tier alongside models like ChatGPT or Claude. It's useful when you need to process a lot of text or run a model at volume without a lot of budget.","Ian ran Kimi as one of the model brains behind OpenClaw, the AI clone agent he built in Episode 003. The appeal was straightforward: it's cheap to run, and cheap matters when an agent is making a lot of calls. Over time, Ian found the outputs got inconsistent, so he moved on to a different model. Kimi came back in Episode 004, where it became the cheap model option Justin switched to inside Hermes while testing lesser-known AI tools.

We keep Kimi in the stack because cost is a real variable when you're running agents at volume, and Kimi is one of the clearest low-cost options to test against. The practical takeaway for an operator: don't assume the cheapest model is the wrong call, test it, but watch for drift. If a model's answers start getting less reliable the longer you run it, that's your cue to switch, which is what happened when Ian used it for OpenClaw.","Kimi is approachable if you just want to open its chat interface and ask questions; it works like any other AI chatbot. Where it gets technical is the API, which is how AI4NTP actually uses it: as a model brain plugged into agents like OpenClaw or Hermes. Most operators won't touch that layer directly. You don't need to know how to wire up Kimi's API to benefit from it. You just need to know it exists as a cheap option when you or your builder are choosing which model powers an agent.",Usage-based API pricing; described as a cheap option on the live.,,,,,,,,,"chatgpt, claude",2026-06-19
claude,Claude (Anthropic),AI assistants & research,https://claude.ai,"Anthropic’s family of AI models, used as an assistant and as an agent’s model brain.","Claude is Anthropic's family of AI models. You can use it directly through the Claude app at claude.ai, or developers can access it through Anthropic's API to build it into other software. People use it for writing, research, analysis, and coding, and it also serves as the reasoning engine behind AI agents, tools that plan and carry out multi-step tasks on their own.

Anthropic offers Claude in several model sizes, from fast and lightweight to more capable, so the same assistant can handle quick everyday questions or longer, more complex work.","Ian ran Claude (Opus 4.6) as the model brain behind his original OpenClaw agent for his first ten weeks building with AI, and he loved it. In Episode 003 he explained switching away after Anthropic blocked OpenClaw from using subscription tokens. Claude also does real production work on the show: Claude Design built the Slow Hand Remodeling and AI4NTP sites from mockups, and in Episode 005 the team used it to ideate brands, rebuild Milk and Cookies, write copy, and critique Sunday Crumb design passes.

We keep Claude in the stack because it holds up across different jobs, from powering an agent's reasoning to production writing and design work you can ship to clients. The practical takeaway: you do not need to pick just one AI to learn. Claude is worth having open alongside whatever agent or tool you are building with, since it is often the model doing the real thinking behind the scenes.","Claude is easy to pick up on the assistant side: chatting with it, or asking it to write, research, or edit, works like ChatGPT through the app at claude.ai, and it is free to start. It gets more technical when Claude is the model running inside an agent or another piece of software, since that goes through Anthropic's API. In that case, a developer or your AI agent is the one calling it, not you typing into a box. You do not need to touch the API yourself to benefit from it.",Free tier; Pro around 20 dollars a month; API is usage-based.,true,,,,,,,,"chatgpt, kimi",2026-07-13
github,GitHub,Hosting & infrastructure,https://github.com,The world’s largest platform for hosting and collaborating on code with Git.,"GitHub is the world's largest platform for hosting and collaborating on code using Git, the version control system developers rely on to track every change to a project. It stores your code in repositories, where you can see the full history of edits, revert mistakes, and work alongside others without overwriting each other's work.

Beyond storage, GitHub adds tools for collaboration: pull requests for reviewing changes before they merge, issues for tracking bugs and tasks, and GitHub Actions for automating steps like testing or deployment. It's free for public and private repositories, with paid Team and Enterprise plans for larger organizations.","GitHub is where the code our agents write actually lands. In Episode 003, Ian Kilpatrick showed how an agent can push what it builds straight to a repo, so you get a real, versioned copy of the code instead of a black box you have to trust. That episode also used GitHub to host OpenClaw's open-source versions, so anyone building their own AI clone agent has a working codebase to start from. In Episode 005, Alec Saluga pointed to GitHub from the other direction: it's the normal code handoff layer that a tool like Lovable can skip entirely, publishing a working app without ever making you touch a repository.

We keep GitHub in the stack because it's the ground truth for anything an agent builds. Even if you never open a terminal, knowing your code lives in a real, versioned repository (not trapped inside one tool) means you can always move it, hand it to a developer, or roll back a bad change.","GitHub itself is a developer tool, built around Git commands, branches, and pull requests that assume some coding background. You don't need to learn any of that to benefit from it here: the agents you build with push their own code to GitHub, and Ian and Alec both treat it as the place that code lives once it's written. It's worth knowing it exists and what a repository is, even if you never open one yourself.",Free for public and private repos; paid Team and Enterprise plans.,true,,,,,,,,,2026-07-01
sendgrid,SendGrid,Marketing & growth,https://sendgrid.com,Email delivery service for sending transactional and marketing email at scale.,"SendGrid is a cloud-based email delivery service, owned by Twilio, built for sending transactional and marketing email at scale. Developers connect to it through an API or SMTP to send things like password resets, receipts, order confirmations, and bulk newsletters without running their own mail servers.

It handles the parts that make email actually land in an inbox: deliverability tuning, sender reputation management, and analytics on opens, clicks, and bounces. Most people never see SendGrid directly. It works in the background every time an app, website, or automation sends them an email.","In Episode 003, Ian Kilpatrick used SendGrid to send bulk email at scale while building an AI clone agent with OpenClaw. That episode became AI4NTP's most-repeated security lesson: a single exposed SendGrid API key sent 127,000 emails from Ian's own address.

We still use SendGrid for scale sending because it does the job well, but every key gets guarded and rotated, never pasted into a script and forgotten. If you or an AI agent connects to SendGrid on your behalf, know where that key lives and who can see it. A leaked key does not just risk spam, it can send six figures of email under your name before anyone notices.","SendGrid is a developer tool. Sending mail through it means calling an API or configuring SMTP settings, not clicking a button in a dashboard, so it isn't something you would set up solo without engineering help. In practice, a developer or an AI agent wires it up on your behalf. It's still worth understanding the API-key risk even if you never touch the integration, because a leaked key can send bulk email as you before anyone notices.",Free tier with limited daily sends; usage-based paid plans.,true,,,,,,,,,2026-06-11
gohighlevel,GoHighLevel,CRM & revenue,https://www.gohighlevel.com,All-in-one CRM and marketing platform for agencies and growing businesses.,"GoHighLevel is an all-in-one sales and marketing CRM built for agencies and growing service businesses. It combines sales pipelines, funnel and landing page builders, email and SMS automation, calendars, and reputation management into one platform, in place of stitching together a handful of separate tools.

The idea is to run an entire revenue operation from one system: track leads as they move through a pipeline, automate follow-up messages, book appointments, and manage customer reviews, all without switching apps.","Justin has run his businesses on GoHighLevel for about 10 years, using it as the backbone of revenue operations: sales pipelines, follow-up automation, and AI-assisted workflows. In Episode 004, ""7 AI tools you have never heard of,"" he demoed that live, querying James's pipeline by voice and getting the answer straight from the CRM.

That is the real test for a CRM this sprawling: can an AI agent actually read your pipeline data and answer questions about it. GoHighLevel passes, which is why it stays in the stack even though it is overkill if all you need is a newsletter tool. For a real sales motion, meaning leads, follow-up, and appointments that need tracking, it is the tool we reach for. The visit link on this page is an AI4NTP affiliate link, and we would point you to GoHighLevel either way.","GoHighLevel is not a technical tool in the coding sense, you do not need to write code to use it, but it is not a lightweight one either. It is a full platform with a real learning curve: pipelines, automations, funnels, and calendars all need setting up before it pays off. If you are running an actual sales process, with leads to track and follow-up to automate, it is worth the setup time. If you just need to send a newsletter, it will feel like overkill.",14-day free trial (start it through AI4NTP). Plans from about $97/mo (Starter) to $297/mo (Unlimited) to $497/mo (Pro).,false,,,,,,,https://www.gohighlevel.com/?fp_ref=t-minus-studios-llc48,,2026-06-19
hyperframes,HyperFrames,AI video,https://www.hyperframes.dev,"Open-source framework that turns HTML, CSS, and GSAP compositions into deterministic MP4 video, built for AI agents.","HyperFrames is an open-source framework for building video with code instead of a timeline editor. You write compositions in HTML, CSS, and GSAP (a JavaScript animation library), and HyperFrames renders them into a real MP4 file. Because the process is deterministic, the same code always produces the exact same video, frame for frame.

It's built specifically for AI agents. Instead of a person clicking through a manual video editor, an agent can write and run the code that generates the video, making it possible to produce and reproduce videos programmatically at scale.","AI4NTP hasn't run HyperFrames through a live build yet. We're flagging it as an editor's pick because it fits squarely into our core thesis: let agents do the work instead of a person operating software by hand. HyperFrames proves that HTML can double as a video format, which means an agent that already knows how to write HTML, CSS, and a bit of GSAP can generate a finished, repeatable video straight from code, without touching a timeline or exporting by hand.

We keep it in the stack because it's open source, so there's no cost or lock-in risk in testing it against a real use case. The practical takeaway for an operator: you don't need to touch the code yourself. If your team or an AI agent can output HTML, you now have a path to generating video programmatically instead of building it by hand in a template tool.","HyperFrames is a developer tool at its core: using it directly means writing HTML, CSS, and GSAP animation code, not clicking through a template. If you don't write code, this isn't something you'll operate yourself. Where it matters to you is as infrastructure an AI agent or a technical teammate can run on your behalf to generate video automatically. Worth knowing about even if you never open the code, since it's the kind of tool that lets an agent replace a manual video-editing workflow.",Free and open source.,true,,,,,,,,higgsfield,2026-06-12
n8n,n8n,AI agents & automation,https://n8n.io,"Open-source, visual workflow automation you can self-host.","n8n is a source-available workflow automation tool built around a visual, node-based editor. Instead of writing code, you drag and connect nodes representing apps, APIs, and AI models onto a canvas to build automated pipelines, things like moving data between tools, scraping information on a schedule, or triggering an action whenever something changes.

You can run n8n on its own cloud service or self-host it on your own server. Self-hosting is what sets it apart from tools like Zapier: instead of paying per task the automation runs, you pay a flat server cost and run it as often as you like.","Alec Saluga picked n8n on Episode 004. He builds client automations in it because every step of a workflow is visual and debuggable, you can see exactly where data is flowing and catch the point where something breaks. He demoed a live example: a workflow that scrapes a client's YouTube, Instagram, and TikTok follower counts every Sunday and pushes the updated numbers straight to their website, no manual reporting involved.

We keep n8n in the stack because it is open source, so you self-host it for a few dollars a month in server costs and run it as many times as you want, instead of paying per execution the way tools like Zapier charge. That makes it cheap to lean on heavily once a client relationship grows. Alec calls it the best place to start before graduating to something like Claude Code: you learn how automations are actually structured on a visual canvas, then move to writing your own once you outgrow it.","n8n is one of the more approachable tools here. You are not writing code, you are dragging nodes onto a canvas and connecting them, so if you can follow a flowchart you can build a real automation. The one technical piece is self-hosting: running your own instance takes some basic server setup, though n8n's cloud plan skips that step entirely. Chaining more than a couple of steps together still takes some patience to learn.",Open source and self-hostable for free; paid Cloud plans available.,true,,,,,,,,zapier,2026-06-19
higgsfield,Higgsfield,AI video,https://higgsfield.ai,Run one prompt through many image and video models in one place.,"Higgsfield is a generative media platform built around one idea: instead of picking a single AI image or video model, you run the same prompt through several models at once and compare the results side by side. It aggregates image and video generators, including models like NanoBanana and Seed Dance, under one interface, then layers on its own creative and marketing tools, including a studio built for UGC-style video.

You write a prompt once and see multiple takes on it rather than committing to a single model's interpretation up front.","Alec Saluga picked Higgsfield as an honorable mention on Episode 004. His workflow: run one prompt through several image and video models at once (NanoBanana, Seed Dance, and others), then keep whichever output looks best instead of betting on a single model. He also uses Higgsfield's marketing studio to produce UGC-style video. On Episode 005, building three real companies in one hour including the bakery Milk and Cookies, he used it again to generate logos, compare image models, and create AI UGC concepts for the B2B brand Crumb.

Alec pays around $150 a month on a mid tier, and the math is what keeps Higgsfield in the stack: a UGC video that used to cost $300 a clip now runs about 1/100 of his credits. The practical takeaway is that you do not need to guess which model is best this month, since that changes constantly. Run the same prompt through all of them, keep the winner, and let the tool do the comparison shopping instead of your budget.","Higgsfield is built for people who create content, not developers. The day-to-day product is approachable: you write a prompt in plain language and get outputs across several models at once. The real skill it demands is creative judgment, knowing a good frame, hook, or output when you see it, not code. If you want serious volume, expect to land on the roughly $150 a month mid tier rather than the cheaper entry tiers.","Paid; tiered, around $150/mo on a mid tier (stated on the live). Cheaper tiers available.",false,,,,,,,,"hyperframes, midjourney",2026-07-13
spyfu,SpyFu,Marketing & growth,https://www.spyfu.com,Competitive search intelligence: see who's advertising and on what keywords.,"SpyFu is a competitive search-intelligence tool for SEO and PPC. Point it at a domain or keyword and it surfaces who is ranking organically, who is bidding on paid ads, what that ad copy looks like, and how spend and rankings have shifted over time.

It also ships an API, so the same keyword and advertiser data that shows up in the dashboard can be pulled programmatically instead of exported by hand, which is what makes it useful as a raw data source for other tools and automations.","Alec reached for SpyFu on Episode 004 when he needed a list of businesses already spending money on ads, meaning prospects who had already proven they'd pay for customers. ChatGPT pointed him to the SpyFu API, so Alec handed the API key and docs to Codex, and Codex queried it directly and pulled a full list of advertisers by keyword in about ten minutes.

That is the appeal for an operator who has never touched an API: you don't have to learn SpyFu's endpoints yourself. Hand a coding agent the key and the docs, and it handles the querying, filtering, and formatting. We keep SpyFu in the stack as a paid data source for exactly this move, where a subscription plus an agent gets you a real prospect list in minutes instead of a VA spending days copying ad pages by hand.","SpyFu's dashboard is built for marketers, not developers: you can type in a competitor's domain and see their keywords and ad history without touching any code. Where it gets technical is the API, which is what AI4NTP actually used, to pull data programmatically at scale. If you want that kind of bulk prospect list, you don't need to learn the API yourself. You, or an AI coding agent, can query it for you, once you or someone on your team has a paid account and an API key.",Paid; subscription with API access (a paid account was required on the live).,false,,,,,,,,"apify, apollo-io",2026-06-19
figma,Figma,Design & brand,https://www.figma.com,Collaborative interface design and wireframing in the browser.,"Figma is a browser-based design tool for interface design, wireframing, prototyping, and design collaboration. Teams use it to mock up websites, apps, and products before a single line of code gets written, laying out screens, choosing fonts and colors, and linking mockups together into a clickable prototype.

Because it runs in the browser, multiple people can open the same file at once, comment on it, and watch changes happen live, which is a big part of why it became a standard tool for design teams. It has a free tier, so anyone can open it and start dragging shapes onto a canvas without buying software.","On Episode 004, Justin used Figma as the first stop in a design-to-deployed workflow. He does light wireframing there, roughing out look, feel, fonts, and layout, before handing it off to Claude Design (via screenshots or an MCP connector) so the actual build matches what he sketched. On Episode 005, Figma played a different role: an ideation surface while shaping the first brand direction for Milk and Cookies, a bakery built with AI in one hour, trying out layouts and looks before committing to a direction.

Figma stays in the stack because it separates the decision of what something should look like from how it gets built. Sketch it fast in Figma, get the fonts and layout right, then let the AI build to match, rather than iterating on look and feel inside code. The practical takeaway for an operator: use Figma as a cheap way to get everyone, including the AI, looking at the same picture before anything gets built.","Figma is built for designers, but you don't need design training or code to get value from it. The interface takes a little getting used to (frames, layers, auto layout), but dragging shapes onto a canvas and roughing out a layout is something anyone can pick up in an afternoon. If you're using it the way Justin does, for light wireframing before handoff to an AI builder, you don't need to master it. Learn enough to sketch fonts, colors, and layout, then let the build tools take it from there.",Free tier; paid plans for teams and advanced features.,true,,,,,,,,"canva, behance",2026-07-13
canva,Canva,Design & brand,https://www.canva.com,"Drag-and-drop design for graphics, assets, and quick mockups.","Canva is a drag-and-drop design platform for creating graphics, presentations, social media posts, and marketing materials without any design software. You start from a template, or a blank canvas, and arrange text, images, and shapes visually, then export a finished asset in minutes.

It now includes built-in AI tools for generating images, removing backgrounds, and resizing a design across formats, plus a free tier and a paid Pro plan for premium assets and brand kits. It runs in the browser, so there is nothing to install.","On Episode 004, Justin paired Canva with Midjourney to build a working mockup before writing any code. Midjourney generated raw images and design concepts, and Canva was where those pieces got assembled: laid out, resized, and arranged into something that looked like a real page. That assembled mockup then became the source material Claude Design used to build the actual production site. The division of labor was simple: Midjourney to generate, Canva to arrange, Claude to build.

Canva stays in the stack because it is the fastest way to turn scattered AI-generated pieces into one visual reference a builder, human or AI, can follow. The practical takeaway: you do not need design software skills to hand a developer or an AI tool a clear picture of what you want built. Drag your assets into Canva, arrange them the way you want the final product to look, and export it. That mockup communicates more than a paragraph of written instructions.","Canva is one of the easier tools in this stack to pick up on your own. There is no code, no complicated interface, and templates do most of the design thinking for you: pick a layout, swap in your text and images, and export. If you have ever used PowerPoint or Google Slides, you already have the instincts you need. It is a good first stop for anyone who needs to produce a graphic, deck, or social asset without hiring a designer.",Free tier; paid Pro plan for premium assets and brand kit.,true,,,,,,,,"figma, behance",2026-06-19
